Noise,N,Kernel,State,Regular,Optimization,N_per_Time,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage,NLML
0,5,SqExp,Prey,Yes,Default,1,2.55008434047772,2.13076612107561,-0.00564113125110621,2.39107340075717,-0.0448825262944567,1.45375216659338,1.0036298489886,0.984,14.013073321401
0,5,SqExp,Predator,Yes,Default,1,3.62961888591235,2.9840621012271,-0.617710188352884,94.5867888727018,92.0700092146348,2.83751648158422,1.61447476797618,0.126,18.5144251740781
0,5,Matern 1/2,Prey,Yes,Default,1,2.55007033153517,2.13075565147245,-0.0056300822595734,2.3910696614866,-0.044886265565027,1.45374538666017,1.00361882209505,0.984,14.0130738779095
0,5,Matern 1/2,Predator,Yes,Default,1,2.79089458591434,2.22234870691539,0.0435428126787077,2.47378557814808,-0.0429940799188886,1.59185513419867,0.95454427294665,0.84,19.7119969727056
0,5,Matern 3/2,Prey,Yes,Default,1,2.55008389822566,2.13076575727594,-0.00564078244159871,2.39107325386983,-0.0448826731817973,1.45375194797773,1.00362950087672,0.984,14.013073551095
0,5,Matern 3/2,Predator,Yes,Default,1,3.35711359100883,2.74525437843912,-0.383919220824435,7.65325043327422,5.13647077520726,2.30192659076648,1.38115138238279,0.258,19.2112605291577
0,5,Matern 5/2,Prey,Yes,Default,1,2.55008383995232,2.13076566464973,-0.00564073648072139,2.39107325173207,-0.0448826753195515,1.45375190830486,1.00362945500776,0.984,14.0130734547322
0,5,Matern 5/2,Predator,Yes,Default,1,3.49943296893965,2.86893618891596,-0.503744413205194,18.000134444983,15.4833547869161,2.55394422030065,1.50073692437878,0.214,18.7981703199798
0,5,RatQuad,Prey,Yes,Default,1,2.55008662724257,2.13076796053136,-0.00564293485091394,2.39107402960701,-0.0448818974446167,1.45375334243499,1.00363164898121,0.984,14.0130730939975
0,5,RatQuad,Predator,Yes,Default,1,2.94493325736817,2.41088203245988,-0.0649508924189719,2.56625845973662,0.0494788016696542,1.69689676857092,1.06282099063413,0.838,19.7156112002799
0,5,Periodic,Prey,Yes,Default,1,2.55008680020969,2.13076804861687,-0.00564307127229369,2.39107396183865,-0.0448819652129732,1.45375336115517,1.00363178512975,0.984,14.0130739258743
0,5,Periodic,Predator,Yes,Default,1,2.94524031257778,2.41116186692757,-0.0651729794669793,2.56642653386056,0.0496468757935976,1.69711285379436,1.06304263350805,0.838,19.7156116370539
0,10,SqExp,Prey,Yes,Default,1,2.56149181995667,1.94735059016499,-0.0146584717965426,2.65821505215807,0.0734545523075917,1.41487550363449,1.01262915485295,0.83,24.4392577929943
0,10,SqExp,Predator,Yes,Default,1,2.86283911545919,2.53219151051134,-0.00640446177786669,2.48513731394102,-0.0137346900579848,1.66747354937556,1.00439165285431,1,38.8668251490481
0,10,Matern 1/2,Prey,Yes,Default,1,2.56149166668511,1.94735045198738,-0.0146583503686488,2.65821507565754,0.0734545758070588,1.41487541315432,1.01262903366791,0.83,24.4392599853914
0,10,Matern 1/2,Predator,Yes,Default,1,2.86283873296391,2.53219118962793,-0.00640419285256555,2.48513719000572,-0.0137348139932821,1.6674733306579,1.00439138446686,1,38.866829761844
0,10,Matern 3/2,Prey,Yes,Default,1,2.56149177367306,1.94735054472074,-0.0146584351288039,2.65821501168387,0.0734545118333855,1.41487547083223,1.01262911825855,0.83,24.4392587101595
0,10,Matern 3/2,Predator,Yes,Default,1,2.86283906183141,2.53219146840498,-0.00640442407316888,2.48513730336017,-0.0137347006388323,1.66747352034422,1.00439161522502,1,38.8668268998547
0,10,Matern 5/2,Prey,Yes,Default,1,2.56149183399358,1.94735060552882,-0.0146584829171494,2.65821513261789,0.0734546327674068,1.41487552038749,1.01262916595132,0.83,24.4392591579604
0,10,Matern 5/2,Predator,Yes,Default,1,2.86283910509527,2.53219150334072,-0.00640445449118565,2.48513730825918,-0.013734695739822,1.66747354381681,1.0043916455822,1,38.8668273122642
0,10,RatQuad,Prey,Yes,Default,1,2.56149181837438,1.94735058876003,-0.0146584705429929,2.65821507519791,0.0734545753474323,1.41487550476134,1.01262915360191,0.83,24.4392563271136
0,10,RatQuad,Predator,Yes,Default,1,2.86283911397218,2.53219150994531,-0.00640446073237522,2.48513731221319,-0.0137346917858076,1.66747354857662,1.00439165181091,1,38.8668213204539
0,10,Periodic,Prey,Yes,Default,1,2.5614918384478,1.94735061025627,-0.0146584864459589,2.65821552954175,0.0734550296912738,1.41487555856992,1.01262916947307,0.83,24.4392620315227
0,10,Periodic,Predator,Yes,Default,1,2.8628391208399,2.53219151619493,-0.00640446556093943,2.48513724755435,-0.0137347564446477,1.66747354741211,1.00439165662982,1,38.8668353657937
0,25,SqExp,Prey,Yes,Default,1,2.5430028822619,2.04820936563512,-6.36547399424092e-05,2.35309410754228,-0.00152787398712654,1.41502736787608,0.998063527430463,0.91,66.640381899354
0,25,SqExp,Predator,Yes,Default,1,2.85648304127175,2.46881210092482,-0.00194058511680395,2.46853316228797,-0.000336417087651567,1.65386338119136,0.99993670394657,0.992,97.9593818911518
0,25,Matern 1/2,Prey,Yes,Default,1,0.423230384274505,0.313114922121788,0.972299499463316,1.24393931031421,-1.1106826712152,0.377462218713324,0.0276450995356106,1,66.7104750022714
0,25,Matern 1/2,Predator,Yes,Default,1,0.403840307156799,0.25350162031648,0.979973825516632,1.03748357799809,-1.43138600137753,0.316015726527484,0.0199861221344013,1,97.8279880080316
0,25,Matern 3/2,Prey,Yes,Default,1,2.54299998123775,2.0482067454141,-6.13730223815168e-05,2.35309302429797,-0.00152895723143941,1.41502569445299,0.998061250276337,0.91,66.6404033131944
0,25,Matern 3/2,Predator,Yes,Default,1,0.200598343363079,0.116587295684459,0.995058789531701,-0.0622844451880204,-2.53115402456364,0.124872303437336,0.0049313280473619,1,92.7700803831545
0,25,Matern 5/2,Prey,Yes,Default,1,2.54300267790787,2.04820917120634,-6.34940110408877e-05,2.35309402442595,-0.00152795710345999,1.41502723886038,0.998063367023019,0.91,66.6403999945013
0,25,Matern 5/2,Predator,Yes,Default,1,2.85648261045448,2.46881170748703,-0.00194028288972081,2.46853301042574,-0.000336568949883,1.65386310393717,0.999936402323941,0.992,97.9595062990057
0,25,RatQuad,Prey,Yes,Default,1,2.54300283377961,2.0482093190957,-6.36166075602684e-05,2.35309408892353,-0.00152789260587672,1.41502733826517,0.998063489374345,0.91,66.6403825304782
0,25,RatQuad,Predator,Yes,Default,1,2.85648303461227,2.46881209526095,-0.0019405804450443,2.46853316013633,-0.000336419239291931,1.65386338130005,0.999936699284154,0.992,97.9594383632649
0,25,Periodic,Prey,Yes,Default,1,2.54300291424269,2.0482093964931,-6.36798935265137e-05,2.35309410333028,-0.00152787819912646,1.41502737045502,0.99806355253374,0.91,66.6404058441351
0,25,Periodic,Predator,Yes,Default,1,2.85648304236492,2.46881210214265,-0.00194058588368384,2.46853316382432,-0.000336415551294309,1.65386340632241,0.999936704711916,0.992,97.9595402993702
0,50,SqExp,Prey,Yes,Default,1,2.54297598461362,2.04961158388383,-4.24992639660449e-05,2.35233312679213,5.37190975786155e-05,1.41373578937428,0.998042414265438,0.904,132.591783540165
0,50,SqExp,Predator,Yes,Default,1,2.85422767105053,2.48010033713576,-0.000359021479707566,2.46773990538599,-0.000107133704577498,1.65594494677701,0.998358303436748,1,197.939859469612
0,50,Matern 1/2,Prey,Yes,Default,1,0.145097262530298,0.0761148628333237,0.996744240045819,0.396507202608601,-1.95577220508595,0.156459289826444,0.00324924843427311,1,130.386357407929
0,50,Matern 1/2,Predator,Yes,Default,1,0.101080350610505,0.0565542412475236,0.998745380168734,0.274308270792224,-2.19353876829835,0.135561493830222,0.00125211059160328,1,169.868240900263
0,50,Matern 3/2,Prey,Yes,Default,1,0.0273892759947377,0.0130458001310815,0.999883990102299,-1.14085340624511,-3.49313281393966,0.034667383117198,0.000115777877905327,1,129.163633738073
0,50,Matern 3/2,Predator,Yes,Default,1,0.0166955989348039,0.00772381493139295,0.999965771909186,-1.46724137675347,-3.93508841584404,0.0237350014050072,3.41596346327481e-05,1,161.76927838458
0,50,Matern 5/2,Prey,Yes,Default,1,0.0206415357966301,0.0110154680185035,0.999934110235801,-1.72517085569286,-4.07745026338741,0.0189803192766872,6.5757984670341e-05,1,129.564194752565
0,50,Matern 5/2,Predator,Yes,Default,1,0.0126887274219628,0.00697528582694651,0.999980229629658,-2.00227260654827,-4.47011964563884,0.0135357373790747,1.97308296016264e-05,1,172.085211928758
0,50,RatQuad,Prey,Yes,Default,1,0.0211889552339604,0.0134044860284477,0.999930569063034,-1.78580590529724,-4.13808531299179,0.017456457538261,6.92920750924336e-05,1,133.073360127512
0,50,RatQuad,Predator,Yes,Default,1,0.0137318348846914,0.00863110959073912,0.99997684547831,-2.14563637004476,-4.61348340913533,0.0120208796084104,2.31082126470091e-05,1,195.16560375898
0,50,Periodic,Prey,Yes,Default,1,2.54297614370557,2.04961173737287,-4.26243919409153e-05,2.35233319751265,5.3789818103203e-05,1.4137358724655,0.998042539143157,0.904,132.591892616027
0,50,Periodic,Predator,Yes,Default,1,2.85422767233679,2.4801003387881,-0.000359022381330787,2.46773990555509,-0.000107133535477749,1.65594498869733,0.998358304336568,1,197.940563145422
0.01,5,SqExp,Prey,Yes,Default,1,2.55033295572697,2.13209537071503,-0.00583722665392239,2.3911837175412,-0.0448876541740473,1.45410085921903,1.00382555220061,0.984,14.0171095758867
0.01,5,SqExp,Predator,Yes,Default,1,3.63983926133162,2.98988665129737,-0.626833395964172,88.972880328524,86.4572595274284,2.83892400301125,1.62357972917224,0.13,18.5097405702312
0.01,5,Matern 1/2,Prey,Yes,Default,1,2.55031921256215,2.13208500485694,-0.00582638622658371,2.39118002138799,-0.0448913503272608,1.45409416039636,1.00381473345413,0.984,14.0171103330282
0.01,5,Matern 1/2,Predator,Yes,Default,1,2.7892320668514,2.22089074409379,0.0446819848279602,2.46678070270812,-0.0488400983875214,1.58876219225492,0.953407379141696,0.844,19.6658139570063
0.01,5,Matern 3/2,Prey,Yes,Default,1,2.55033255026331,2.1320950326882,-0.00583690682869187,2.39118358025256,-0.0448877914626908,1.45410065777743,1.00382523301503,0.984,14.0171098064743
0.01,5,Matern 3/2,Predator,Yes,Default,1,3.35797285456293,2.74246987058852,-0.384627748254029,7.42229254269369,4.90667174159805,2.2939789216973,1.38185849275752,0.26,19.1942745501802
0.01,5,Matern 5/2,Prey,Yes,Default,1,2.55033266908039,2.13209508484914,-0.00583700055027747,2.39118362020852,-0.0448877515067336,1.45410070565412,1.00382532654918,0.984,14.0171097409321
0.01,5,Matern 5/2,Predator,Yes,Default,1,3.50426340671629,2.86969719102133,-0.507898661698684,17.2381693939802,14.7225485928846,2.5488484861874,1.50488286437529,0.214,18.7980384765309
0.01,5,RatQuad,Prey,Yes,Default,1,2.55033513505937,2.1320971682791,-0.00583894568797172,2.39118438415437,-0.0448869875608804,1.45410202402231,1.0038272677966,0.984,14.0171088606709
0.01,5,RatQuad,Predator,Yes,Default,1,2.94490931348854,2.41090332366564,-0.0649335752507443,2.56381747225841,0.0481966711627705,1.69619320694633,1.06280370810024,0.84,19.669084023592
0.01,5,Periodic,Prey,Yes,Default,1,2.55033537154107,2.13209725895479,-0.00583913222229215,2.39118426775882,-0.0448871039564337,1.45410203129735,1.00382745395785,0.984,14.0171101765266
0.01,5,Periodic,Predator,Yes,Default,1,2.94520002880866,2.41116838189055,-0.0651438416823669,2.56397533113452,0.048354530038877,1.69639728866261,1.063013553999,0.84,19.6690844621934
0.01,10,SqExp,Prey,Yes,Default,1,2.56126183166309,1.94797246203979,-0.014476273991058,2.65537600802036,0.0729985365447106,1.41484352571793,1.01244732144308,0.83,24.4500832621898
0.01,10,SqExp,Predator,Yes,Default,1,2.86212322438113,2.5303185445127,-0.00590119501103592,2.48501645794624,-0.0137801013452549,1.66678739913374,1.00388939262101,1,38.816267620427
0.01,10,Matern 1/2,Prey,Yes,Default,1,2.56126167747366,1.94797232290542,-0.0144761518469514,2.65537602723761,0.0729985557619585,1.41484343433735,1.01244719954326,0.83,24.4500854418313
0.01,10,Matern 1/2,Predator,Yes,Default,1,2.86212284097772,2.53031822359222,-0.0059009255146556,2.48501633412419,-0.0137802251673093,1.66678718004037,1.00388912366363,1,38.8162721543311
0.01,10,Matern 3/2,Prey,Yes,Default,1,2.56126178391411,1.9479724147757,-0.0144762361657869,2.65537596375189,0.0729984922762381,1.41484349148444,1.01244728369346,0.83,24.4500841696272
0.01,10,Matern 3/2,Predator,Yes,Default,1,2.86212317085185,2.53031850451973,-0.00590115738500918,2.48501644760086,-0.0137801116906386,1.66678737025376,1.00388935507024,1,38.8162693225397
0.01,10,Matern 5/2,Prey,Yes,Default,1,2.56126184612938,1.94797247787702,-0.0144762854508018,2.65537604612806,0.0729985746524129,1.41484353901673,1.0124473328799,0.83,24.4500843298078
0.01,10,Matern 5/2,Predator,Yes,Default,1,2.86212321393485,2.53031853826938,-0.0059011876682884,2.48501645248483,-0.0137801068066648,1.6667873935483,1.00388938529295,1,38.8162697219597
0.01,10,RatQuad,Prey,Yes,Default,1,2.56126182991876,1.9479724604418,-0.0144762726092491,2.65537603009936,0.072998558623709,1.41484352665128,1.01244732006403,0.83,24.4500817983244
0.01,10,RatQuad,Predator,Yes,Default,1,2.86212322288341,2.53031854407332,-0.00590119395827804,2.48501645628537,-0.0137801030061224,1.66678739832932,1.00388939157036,1,38.8162637868709
0.01,10,Periodic,Prey,Yes,Default,1,2.56126185073773,1.94797248278256,-0.0144762891014005,2.65537648273692,0.0729990112612713,1.41484358100757,1.0124473365232,0.83,24.4500875032262
0.01,10,Periodic,Predator,Yes,Default,1,2.86212322979302,2.53031854954873,-0.00590119881507989,2.48501639140624,-0.0137801678852546,1.66678739680312,1.00388939641745,1,38.8162777613147
0.01,25,SqExp,Prey,Yes,Default,1,2.54294704772307,2.05162446163044,-1.9740137752855e-05,2.3530891675857,-0.00153931944893669,1.41579645200298,0.998019700657477,0.91,66.7082913712726
0.01,25,SqExp,Predator,Yes,Default,1,2.85684017629987,2.46761598520572,-0.00219113829202255,2.4686724604513,-0.000242007618345082,1.65385746433411,1.00018675601544,0.988,97.9474262505183
0.01,25,Matern 1/2,Prey,Yes,Default,1,0.424575104739316,0.31888702758964,0.972123195458523,1.24715422684077,-1.10747426019386,0.37842944406086,0.0278210509323943,1,66.778095565557
0.01,25,Matern 1/2,Predator,Yes,Default,1,0.409994715108942,0.260402422862275,0.979358788401714,1.03878370504618,-1.43013076302346,0.317143866648875,0.0205999291750898,1,97.7923858917671
0.01,25,Matern 3/2,Prey,Yes,Default,1,2.54294283133006,2.05162064773802,-1.64239281221779e-05,2.35308760627638,-0.00154088075825485,1.41579402863476,0.998016391080266,0.91,66.7083103997353
