Kernel,N,State,RMSE,MAE,R2
SqExp,5,Prey,2.35810980998106,1.86250558521578,0.140072199947669
SqExp,5,Predator,2.94443622587756,2.41129216393175,-0.0645914483055057
Matern 1/2,5,Prey,2.2395499041363,1.85261400245233,0.224368518784566
Matern 1/2,5,Predator,2.94443620379119,2.4112921439507,-0.0645914323343935
Matern 3/2,5,Prey,2.16487746230599,1.72436059155401,0.27522938411528
Matern 3/2,5,Predator,2.94443598875415,2.41129197093052,-0.0645912768366579
Matern 5/2,5,Prey,2.55585784947377,2.15779499259888,-0.010199922221759
Matern 5/2,5,Predator,2.94443622293764,2.41129216376727,-0.0645914461795853
RatQuad,5,Prey,2.53177628523271,2.13794348220989,0.0087468182030459
RatQuad,5,Predator,2.92070243287773,2.38125888313988,-0.0474982196307112
Periodic,5,Prey,2.55585847275502,2.15779539161841,-0.0102004149242378
Periodic,5,Predator,2.94443624428941,2.41129216618702,-0.0645914616194927
SqExp,10,Prey,2.20664200329586,1.70538418654244,0.24699527632144
SqExp,10,Predator,2.22462976861938,1.93143010643057,0.392293113990699
Matern 1/2,10,Prey,2.43967121114363,1.86194378292664,0.0795577570658628
Matern 1/2,10,Predator,2.55659905415063,2.26579329552698,0.197391201215681
Matern 3/2,10,Prey,2.37657146710128,1.80515504300716,0.126554731359703
Matern 3/2,10,Predator,2.38759815451095,2.08452472565078,0.299995007068383
Matern 5/2,10,Prey,2.34514299936677,1.78440007417769,0.149503366850848
Matern 5/2,10,Predator,2.31673005715177,2.01029512440418,0.3409330479901
RatQuad,10,Prey,2.54480637221357,2.01959070216615,-0.00148264196992454
RatQuad,10,Predator,2.77168182464385,2.46323963534147,0.0566661546165255
Periodic,10,Prey,2.54480638057082,2.01959071067857,-0.00148264854774105
Periodic,10,Predator,2.88975701635633,2.58343887216501,-0.025418910710828
SqExp,25,Prey,0.570413577723414,0.466660849739591,0.949683126435419
SqExp,25,Predator,0.586308169008948,0.474492891145045,0.957788521976366
Matern 1/2,25,Prey,0.522877847169685,0.410376446324998,0.957720053992915
Matern 1/2,25,Predator,0.665698885875923,0.532320046414407,0.945583033410691
Matern 3/2,25,Prey,0.444919978049518,0.365008410775256,0.969387573637337
Matern 3/2,25,Predator,0.587404644633433,0.478015104070906,0.957630491992432
Matern 5/2,25,Prey,0.487308356501735,0.40352876263588,0.963276703687121
Matern 5/2,25,Predator,0.594970375116002,0.486108810483085,0.956532030642615
RatQuad,25,Prey,0.570887601820912,0.467101040641494,0.949599463205821
RatQuad,25,Predator,0.597541009163949,0.455405492294769,0.956155603043436
Periodic,25,Prey,2.54395918502279,2.02873776263694,-0.000815949172843222
Periodic,25,Predator,2.8619562062866,2.45592462717666,-0.0057838004854982
SqExp,50,Prey,0.413484746915719,0.323159517219757,0.973560518982548
SqExp,50,Predator,0.427099994027472,0.340829156665079,0.977600527066925
Matern 1/2,50,Prey,0.436378035953454,0.339397021748854,0.97055173546205
Matern 1/2,50,Predator,0.502331104259672,0.408985606902315,0.969014478527724
Matern 3/2,50,Prey,0.454856410807028,0.357532017201987,0.968004965751138
Matern 3/2,50,Predator,0.422827240930942,0.345695012016426,0.978046458629327
Matern 5/2,50,Prey,0.464369404750047,0.367197720684498,0.966652664742316
Matern 5/2,50,Predator,0.579640025566535,0.473056298483054,0.958743213038185
RatQuad,50,Prey,0.45374003312182,0.360096161871354,0.968161827162738
RatQuad,50,Predator,0.462322329767667,0.371998389291872,0.973753680657812
Periodic,50,Prey,2.54347028172756,2.03606275548311,-0.000431308412252696
Periodic,50,Predator,2.85410826586985,2.4812024960753,-0.000275324196271187
