Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,Prey,1.00762141951392,1,15.4257063895368
SqExp,5,Predator,1.04332189969531,1,15.7211704495539
Matern 1/2,5,Prey,1.0076214036435,0.992,11.9665895932846
Matern 1/2,5,Predator,1.0433218376482,1,15.7918117515829
Matern 3/2,5,Prey,1.00762141217607,1,16.2937191824904
Matern 3/2,5,Predator,1.04332190502459,1,15.6901467547806
Matern 5/2,5,Prey,1.00762142128073,1,12.7164551586777
Matern 5/2,5,Predator,1.0433219006925,1,15.4377394677282
RatQuad,5,Prey,1.00762142193095,1,15.742976487291
RatQuad,5,Predator,1.04332190875562,1,15.4281311173986
Periodic,5,Prey,1.00762142797518,0.836,12.3866733916644
Periodic,5,Predator,1.04332192329878,0.944,17.9434188991534
SqExp,10,Prey,0.558863335993041,0.9,23.0920708284675
SqExp,10,Predator,0.548525231957407,0.928,35.7927140027094
Matern 1/2,10,Prey,0.594574102047036,0.934,24.4350717892417
Matern 1/2,10,Predator,0.645964856479273,0.902,37.2796892452888
Matern 3/2,10,Prey,0.561757873577321,0.924,31.9298743636611
Matern 3/2,10,Predator,0.597591243069638,0.912,35.7303595589147
Matern 5/2,10,Prey,0.55428560082081,0.924,22.9103540549128
Matern 5/2,10,Predator,0.567134420708426,0.924,28.8480805824711
RatQuad,10,Prey,0.558833322050292,0.912,23.0916640137118
RatQuad,10,Predator,0.558938495202594,0.922,36.0493923393227
Periodic,10,Prey,1.12809770469661,1,29.8811845002849
Periodic,10,Predator,1.06674502861798,0.85,38.1742045438595
SqExp,25,Prey,0.066108159976409,0.934,45.5163173290754
SqExp,25,Predator,0.191595546253077,0.42,47.4548290373598
Matern 1/2,25,Prey,0.185132238192579,0.938,64.071297627522
Matern 1/2,25,Predator,0.293791827688463,0.926,98.7390353464654
Matern 3/2,25,Prey,0.085659154072644,0.94,63.0382865550223
Matern 3/2,25,Predator,0.185181958031998,0.91,47.8022520805294
Matern 5/2,25,Prey,0.0677144766693182,0.904,62.7240504909754
Matern 5/2,25,Predator,0.173696509400989,0.91,47.9703809848693
RatQuad,25,Prey,0.0832828435806599,0.944,46.6250167616093
RatQuad,25,Predator,0.17379287155771,0.824,49.9279449811555
Periodic,25,Prey,1.00828142157655,0.886,63.8792239220502
Periodic,25,Predator,1.01534255221567,0.884,100.920027564925
SqExp,50,Prey,0.000480697125481623,1,135.063905073425
SqExp,50,Predator,2.238812974303e-05,0.87,248.786684325635
Matern 1/2,50,Prey,0.00311466121108629,1,130.903601029003
Matern 1/2,50,Predator,0.00115301831807552,1,170.062308686454
Matern 3/2,50,Prey,0.000134960577275969,1,129.613344220816
Matern 3/2,50,Predator,3.0366020774217e-05,1,60.6112368056786
Matern 5/2,50,Prey,9.47100046099241e-05,1,66.1919638578193
Matern 5/2,50,Predator,1.76998736867455e-05,1,172.261173185213
RatQuad,50,Prey,7.24172331218926e-05,0.826,62.0323587297472
RatQuad,50,Predator,1.46585737267381e-05,0.972,193.532375291273
Periodic,50,Prey,0.99805463618363,0.908,133.226192178113
Periodic,50,Predator,0.998076055526832,1,198.066965497366
