Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,M1,1.13807332228319,1,43.304203802691
SqExp,5,M2,1.17260700037901,0.87,33.7330621345966
Matern 1/2,5,M1,1.13807141530166,1,43.3042097572587
Matern 1/2,5,M2,1.1726062268822,0.87,33.7330641948095
Matern 3/2,5,M1,1.13807188960182,1,43.3042071434986
Matern 3/2,5,M2,1.17260612190047,0.87,33.7330621630826
Matern 5/2,5,M1,1.13807251582681,1,43.3042065974578
Matern 5/2,5,M2,1.17260669349134,0.87,33.7330628261206
RatQuad,5,M1,1.13807429725921,1,43.3042127532781
RatQuad,5,M2,1.17260692994393,0.87,33.7330620826395
SqExp,10,M1,0.000219468216725726,0.95,82.164946158372
SqExp,10,M2,6.45916490118809e-05,1,71.8935602728344
Matern 1/2,10,M1,0.0148902603213719,1,93.6137599441203
Matern 1/2,10,M2,0.111516309981538,1,70.5490689105252
Matern 3/2,10,M1,0.000674882037652908,1,78.184030153255
Matern 3/2,10,M2,0.0171351588573228,1,69.8554214159434
Matern 5/2,10,M1,0.000798354454716051,1,77.5081365683379
Matern 5/2,10,M2,0.0133107922974269,1,68.9369237657566
RatQuad,10,M1,0.000219468126771618,0.95,82.1649461487503
RatQuad,10,M2,1.0193330036579,0.928,70.5566963381988
SqExp,25,M1,8.59421275908155e-06,1,203.528612731874
SqExp,25,M2,4.57419949904853e-06,1,175.197158636569
Matern 1/2,25,M1,0.000247093661753756,1,174.590621060209
Matern 1/2,25,M2,0.000573132431191475,1,172.923764303689
Matern 3/2,25,M1,1.20774783789642e-05,1,179.165866817311
Matern 3/2,25,M2,8.4611809180752e-06,1,177.10973765006
Matern 5/2,25,M1,6.88247720907021e-06,1,184.851858351061
Matern 5/2,25,M2,9.5220413662974e-07,1,197.410582158104
RatQuad,25,M1,8.59420947979733e-06,1,203.52861279994
RatQuad,25,M2,4.57419613577099e-06,1,175.197157501956
SqExp,50,M1,3.5119512668425e-06,1,373.026560281347
SqExp,50,M2,2.06305059603649e-06,1,340.069900384956
Matern 1/2,50,M1,1.49495740366804e-05,1,297.633968469558
Matern 1/2,50,M2,3.02340728619117e-05,1,287.447258871621
Matern 3/2,50,M1,1.02423181900717e-06,1,319.66925296373
Matern 3/2,50,M2,1.8734857194652e-07,1,317.829812654479
Matern 5/2,50,M1,1.68837118930755e-06,1,338.77501835132
Matern 5/2,50,M2,2.95472219087414e-07,1,346.874699011326
RatQuad,50,M1,3.51194536750303e-06,1,373.026561189402
RatQuad,50,M2,2.06304760372608e-06,1,340.069899658197
