Kernel,N,State,RMSE,MAE,R2
SqExp,5,M1,167.077825430089,127.70990192277,-0.135548396052935
SqExp,5,M2,97.0264897547168,71.0614126286348,-0.174718286241538
Matern 1/2,5,M1,167.077679151148,127.709832007838,-0.135546407677232
Matern 1/2,5,M2,97.0264602405621,71.0613888318546,-0.174717571574604
Matern 3/2,5,M1,167.077777289382,127.709883278123,-0.135547741674117
Matern 3/2,5,M2,97.0264520617328,71.0613806440715,-0.174717373529368
Matern 5/2,5,M1,167.077814933578,127.70990312171,-0.135548253373373
Matern 5/2,5,M2,97.0264786430276,71.0614058539594,-0.174718017178854
RatQuad,5,M1,167.07791574383,127.709971942907,-0.135549623692219
RatQuad,5,M2,97.0264869529121,71.0614118119916,-0.174718218397566
SqExp,10,M1,8.05566816901656,6.3170484567437,0.997360199197247
SqExp,10,M2,4.57715508956717,3.68140723841835,0.997385766678128
Matern 1/2,10,M1,17.9271335664716,13.2739863573095,0.986926564507418
Matern 1/2,10,M2,31.3952781124716,21.9398212154273,0.877006613635159
Matern 3/2,10,M1,8.2047591157528,6.19198174736661,0.997261582320047
Matern 3/2,10,M2,13.558107964679,8.24582897714257,0.977062226194058
Matern 5/2,10,M1,8.86390242796153,6.77326547881797,0.996803917703909
Matern 5/2,10,M2,11.9510820973331,6.26519094526937,0.982177544071555
RatQuad,10,M1,8.05566817658776,6.3170484594472,0.997360199192285
RatQuad,10,M2,90.6913658377551,67.1425283839303,-0.0263251585677902
SqExp,25,M1,6.46715804143743,4.9133011672414,0.998298644896293
SqExp,25,M2,3.39369352864306,2.61891964091517,0.998562862471232
Matern 1/2,25,M1,7.44568903843791,5.91139176912779,0.997744837669123
Matern 1/2,25,M2,5.58779961614109,4.38167996587898,0.99610385835887
Matern 3/2,25,M1,7.53438902239595,5.84108875842114,0.99769078643211
Matern 3/2,25,M2,4.81522850951845,3.95029574305968,0.997106743794898
Matern 5/2,25,M1,6.62425692175477,5.17625305762883,0.998214983001052
Matern 5/2,25,M2,3.89382076521748,3.06270877563123,0.998108070262386
RatQuad,25,M1,6.46715801251156,4.91330124865837,0.998298644911512
RatQuad,25,M2,3.39369349272732,2.61891961810382,0.998562862501651
SqExp,50,M1,3.33771387858142,2.93621150760681,0.99954682470196
SqExp,50,M2,1.77438759770577,1.50531144161417,0.99960712890579
Matern 1/2,50,M1,6.33753177467109,5.22540058603525,0.998366164532848
Matern 1/2,50,M2,3.54943016121732,2.83476299858995,0.998427935499902
Matern 3/2,50,M1,4.97311191262753,4.16032181020035,0.998993938603831
Matern 3/2,50,M2,2.61544437706566,2.11405066960973,0.999146420322795
Matern 5/2,50,M1,4.31626461212951,3.58034831850801,0.999242148450165
Matern 5/2,50,M2,1.98962054342025,1.56654258576518,0.999506037928854
RatQuad,50,M1,3.36144895924311,2.95788507971721,0.999540356564122
RatQuad,50,M2,1.77438762689047,1.50531148214328,0.999607128892866
