Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,M1,6.65526650924062,-0.0655041719075503,98.2943444932345
SqExp,5,M2,6.00084328856683,0.00600174817265796,53.2759641931481
Matern 1/2,5,M1,6.65526591183842,-0.0655047693097478,98.2942784636571
Matern 1/2,5,M2,6.00084297826224,0.00600143786806663,53.2759462191088
Matern 3/2,5,M1,6.65526624147731,-0.0655044396708642,98.2943195555628
Matern 3/2,5,M2,6.00084282564965,0.00600128525547567,53.2759424145908
Matern 5/2,5,M1,6.65526635397097,-0.0655043271772003,98.2943350128734
Matern 5/2,5,M2,6.00084317029056,0.00600162989638629,53.2759582076627
RatQuad,5,M1,6.65526656968415,-0.0655041114640167,98.294375862762
RatQuad,5,M2,6.00084325468555,0.00600171429137806,53.2759628761862
SqExp,10,M1,5.64421628105822,-0.892033555345343,5.17638875319524
SqExp,10,M2,5.02843216694294,-0.907457807386248,2.94654421865318
Matern 1/2,10,M1,5.34424384928682,-1.19200598711674,21.7479937886873
Matern 1/2,10,M2,5.15074951709622,-0.785140457232976,20.5339550595031
Matern 3/2,10,M1,3.99669143502614,-2.53955840137743,5.73195865742568
Matern 3/2,10,M2,4.42288376545188,-1.51300620887731,9.92272787158817
Matern 5/2,10,M1,3.92748755562831,-2.60876228077526,5.02761147291412
Matern 5/2,10,M2,4.09835860956302,-1.83753136476617,7.21225888597465
RatQuad,10,M1,5.64421594873944,-0.892033887664125,5.17638871793157
RatQuad,10,M2,5.92863197832171,-0.00725799600747809,50.7401810622225
SqExp,25,M1,3.31000946230905,-3.17370593131449,3.67989009608732
SqExp,25,M2,2.80235538152519,-3.11357384878066,2.03279459867318
Matern 1/2,25,M1,4.30317561065184,-2.1805397829717,7.58779236293126
Matern 1/2,25,M2,3.96003982657692,-1.95588940372894,5.42999158266658
Matern 3/2,25,M1,3.64675853938069,-2.83695685424285,4.30346616442756
Matern 3/2,25,M2,4.27167669685875,-1.64425253344711,3.00554016028797
Matern 5/2,25,M1,3.36235280189432,-3.12136259172923,3.82237558842753
Matern 5/2,25,M2,2.88803956902448,-3.02788966128137,2.28869304113887
RatQuad,25,M1,3.31000946359573,-3.17370593002781,3.67989009763707
RatQuad,25,M2,2.80235535540065,-3.11357387490521,2.03279456186966
SqExp,50,M1,3.08116803606871,-3.39556704662883,2.40059879943032
SqExp,50,M2,2.54824857080419,-3.36562247544617,1.36808677491116
Matern 1/2,50,M1,3.74145216512581,-2.73528291757173,4.61882919763145
Matern 1/2,50,M2,3.33234234190605,-2.58152870434431,2.92204123648964
Matern 3/2,50,M1,3.17347257292463,-3.30326250977291,2.99589375441644
Matern 3/2,50,M2,2.65461014704183,-3.25926089920853,1.67173845110894
Matern 5/2,50,M1,3.13025605715005,-3.34647902554749,2.72696118835989
Matern 5/2,50,M2,2.61264379404745,-3.30122725220291,1.47756746852843
RatQuad,50,M1,3.08057368835375,-3.39616139434378,2.40513121376795
RatQuad,50,M2,2.54824858071381,-3.36562246553655,1.36808679059763
