Noise,N,Kernel,State,Regular,Optimization,N_per_Time,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage,NLML
0,5,SqExp,X,Yes,Default,1,0.0135190381229227,0.00825706272972732,0.965483300684759,-2.68328691826879,-1.68792803949774,0.00816743639050016,0.0344476659166106,1,64.6488679162637
0,5,SqExp,Y,Yes,Default,1,7.00406684680422e-06,4.47844618480483e-06,-0.648042991956669,-5.98879171712511,4.39321475269141,0.000233714664553804,1.64474690597276,1,-29.9438298006486
0,5,SqExp,Z,Yes,Default,1,0.0135125352174441,0.00825342095136021,0.965521372713044,-2.68364003382664,-1.68828292491129,0.00816412393769956,0.0344096700323819,1,0.727790794918894
0,5,Matern 1/2,X,Yes,Default,1,0.0133524305436785,0.00793150057185945,0.96632882058111,-2.242189993791,-1.24683111501995,0.0116149584992641,0.0336038370600524,1,101.8999424662
0,5,Matern 1/2,Y,Yes,Default,1,7.00406702896816e-06,4.47844559966771e-06,-0.648043077682295,-5.98879171711552,4.39321475270101,0.000233714664556766,1.64474699152693,1,-29.943829838321
0,5,Matern 1/2,Z,Yes,Default,1,0.0133460080510942,0.00792812137187234,0.966365958629379,-2.24231111550129,-1.24695400658594,0.0116128077722882,0.0335667732878797,1,2.67227145830046
0,5,Matern 3/2,X,Yes,Default,1,0.0142015569296438,0.00847461346206561,0.961910121089411,-3.03551277946216,-2.04015390069111,0.00689093215278864,0.0380136991527678,0.882,50.9121169362031
0,5,Matern 3/2,Y,Yes,Default,1,7.00406697575259e-06,4.47844596052012e-06,-0.648043052639258,-5.98879171713876,4.39321475267776,0.000233714664551123,1.64474696653398,1,-29.9438298306666
0,5,Matern 3/2,Z,Yes,Default,1,0.0141942645214825,0.00847050884117154,0.961954606720384,-3.03673222459813,-2.04137511568278,0.00688728151879676,0.0379693024930564,0.882,0.168423381829779
0,5,Matern 5/2,X,Yes,Default,1,0.0131858589539215,0.00849245408738437,0.967163676502528,-2.85798272606526,-1.86262384729421,0.0064678799339785,0.032770650850477,0.816,51.512652604413
0,5,Matern 5/2,Y,Yes,Default,1,7.00406693235137e-06,4.47844607321408e-06,-0.648043032214818,-5.98879171711094,4.39321475270559,0.000233714664557453,1.64474694615039,1,-29.9438298219026
0,5,Matern 5/2,Z,Yes,Default,1,0.0131784032506435,0.00848805175282863,0.967205435038278,-2.85990195452734,-1.864544845612,0.00646406776857986,0.0327289758317989,0.816,0.190241057863252
0,5,RatQuad,X,Yes,Default,1,0.0131835536215243,0.00797534098529504,0.967175157290134,-2.76357478018574,-1.76821590141469,0.00769688392257406,0.032759193024446,1,58.2863324619107
0,5,RatQuad,Y,Yes,Default,1,7.00406676053142e-06,4.4784460934198e-06,-0.648042951357032,-5.98879171720241,4.39321475261412,0.000233714664535399,1.64474686545432,1,-29.943829792474
0,5,RatQuad,Z,Yes,Default,1,0.0131768536709729,0.00797153574715113,0.967213146868384,-2.76395295389974,-1.76859584498439,0.0076935437962124,0.032721279425353,1,0.453058731236966
0,10,SqExp,X,Yes,Default,1,0.00290789466224305,0.00171310571686395,0.998403036410683,-4.38158200544043,-3.24414989763219,0.00154760163015753,0.00159376966213832,0.942,39.1520832412161
0,10,SqExp,Y,Yes,Default,1,5.95641024977643e-06,3.68708610862198e-06,-0.191892746265633,-5.98879850617999,4.60531312620975,0.000233709247836345,1.1895089607731,1,-59.8874615588694
0,10,SqExp,Z,Yes,Default,1,0.00290276452448359,0.00171055721728942,0.998408891108698,-4.38302195864448,-3.24562604201777,0.00154528807494314,0.00158792667351895,0.942,-0.291108599384918
0,10,Matern 1/2,X,Yes,Default,1,0.00416951627595106,0.00175185420364409,0.996716711687101,-3.11298920850412,-1.97555710069588,0.00465370326029374,0.00327672173627316,1,80.199533053744
0,10,Matern 1/2,Y,Yes,Default,1,5.95640936523975e-06,3.6870843431366e-06,-0.191892392269609,-5.98879850617738,4.60531312621236,0.000233709247833982,1.18950860748507,1,-59.8874615014051
0,10,Matern 1/2,Z,Yes,Default,1,0.00416456162082499,0.00175017789939679,0.996724973081,-3.11314728684531,-1.9757513702186,0.00465249233237084,0.00326847686516176,1,-3.80646089652316
0,10,Matern 3/2,X,Yes,Default,1,0.00318383802863788,0.00125510510338908,0.998085569496949,-4.55251440627871,-3.41508229847046,0.00139343562639116,0.00191060164204454,0.922,12.4315103099136
0,10,Matern 3/2,Y,Yes,Default,1,5.95640977701999e-06,3.68708531915698e-06,-0.191892557066122,-5.98879850623161,4.60531312615813,0.000233709247822693,1.18950877195199,1,-59.887461067801
0,10,Matern 3/2,Z,Yes,Default,1,0.0031788412725181,0.00125324808827351,0.998091843570074,-4.55429662298355,-3.41690070635684,0.0013916543336105,0.00190434011706651,0.922,-0.39784406782665
0,10,Matern 5/2,X,Yes,Default,1,0.00236951437485849,0.000972796239580745,0.998939632595118,-4.76476972060523,-3.62733761279699,0.000991365425264449,0.0010582466700723,0.916,17.0635094094446
0,10,Matern 5/2,Y,Yes,Default,1,5.95640995536682e-06,3.68708565368818e-06,-0.191892628441423,-5.9887985062593,4.60531312613043,0.00023370924781682,1.18950884318454,1,-59.887460763866
0,10,Matern 5/2,Z,Yes,Default,1,0.00236476250598628,0.00097101659564937,0.998944030557496,-4.76771751344988,-3.63032159682317,0.00098972685637153,0.00105385750361885,0.916,1.2893797051275
0,10,RatQuad,X,Yes,Default,1,0.00218256245357634,0.00103867789992515,0.999100355284126,-4.77082039457092,-3.63338828676268,0.00103009630116718,0.000897845426441935,0.928,23.6387943943462
