Kernel,N,State,NLPD,MSLL,CRPS
SqExp,5,X,-2.70175420328083,-1.70619147929735,0.00805576987521897
SqExp,5,Y,-5.98879171849263,4.39291790391661,0.00023371466346271
SqExp,5,Z,-2.71326161882812,-1.71770541414787,0.00797442978809391
Matern 1/2,5,X,-2.24593012046953,-1.25036739648604,0.0115927694627845
Matern 1/2,5,Y,-5.98879171848298,4.39291790392627,0.00023371466346572
Matern 1/2,5,Z,-2.23473501222527,-1.23917880754502,0.0116455944752214
Matern 3/2,5,X,-3.03956988999406,-2.04400716601058,0.00686504340688273
Matern 3/2,5,Y,-5.98879171850625,4.392917903903,0.000233714663460059
Matern 3/2,5,Z,-3.01648123302746,-2.0209250283472,0.0069761740336622
Matern 5/2,5,X,-2.85402090506606,-1.85845818108257,0.00644916120027802
Matern 5/2,5,Y,-5.98879171847844,4.39291790393081,0.000233714663466378
Matern 5/2,5,Z,-2.83603746395243,-1.84048125927218,0.0065684797730448
RatQuad,5,X,-2.78196964033149,-1.78640691634801,0.00759919269105091
RatQuad,5,Y,-5.98879171856994,4.3929179038393,0.000233714663444299
RatQuad,5,Z,-2.80636254570774,-1.81080634102748,0.00747174015158072
SqExp,10,X,-4.39360931830896,-3.25553182297275,0.00153967942055254
SqExp,10,Y,-5.98879852435593,4.605837443332,0.000233709233334554
SqExp,10,Z,-4.38149408266034,-3.24470134145868,0.00156953222199043
Matern 1/2,10,X,-3.11621267454205,-1.97813517920584,0.0046301265154047
Matern 1/2,10,Y,-5.98879852435318,4.60583744333475,0.000233709233332304
Matern 1/2,10,Z,-3.11196928347766,-1.975176542276,0.0046729895573405
Matern 3/2,10,X,-4.56810028613644,-3.43002279080023,0.00138220158474544
Matern 3/2,10,Y,-5.98879852440746,4.60583744328047,0.000233709233320974
Matern 3/2,10,Z,-4.50381379589179,-3.36702105469013,0.00144739820988188
Matern 5/2,10,X,-4.79403179104129,-3.65595429570509,0.000990616017604357
Matern 5/2,10,Y,-5.98879852443519,4.60583744325275,0.000233709233315077
Matern 5/2,10,Z,-4.64142008930512,-3.50462734810346,0.0011122595811304
RatQuad,10,X,-4.40289405229029,-3.26481655695409,0.00151343608981572
RatQuad,10,Y,-5.98879852436584,4.60583744332209,0.000233709233332217
RatQuad,10,Z,-4.61556130735829,-3.47876856615664,0.00120915245141452
SqExp,25,X,-5.51084300412839,-4.32029069421367,0.000537365793236717
SqExp,25,Y,-5.98880087201919,4.69221001613512,0.000233707360170765
SqExp,25,Z,-5.5475588474312,-4.35772367023575,0.00048130448353181
Matern 1/2,25,X,-4.0585372464183,-2.86798493650357,0.00173644367018004
Matern 1/2,25,Y,-5.9888008722221,4.69221001593221,0.000233707360097096
Matern 1/2,25,Z,-4.04910008026374,-2.85926490306829,0.00176032570309945
Matern 3/2,25,X,-5.46087691064647,-4.27032460073175,0.000515997719254257
Matern 3/2,25,Y,-5.98880087212717,4.69221001602714,0.000233707360139453
Matern 3/2,25,Z,-5.451043138851,-4.26120796165555,0.000511225708483212
Matern 5/2,25,X,-5.55352902583077,-4.36297671591605,0.000485282529661644
Matern 5/2,25,Y,-5.98880087200406,4.69221001615025,0.00023370736017325
Matern 5/2,25,Z,-5.51459665787029,-4.32476148067484,0.000476765933004621
RatQuad,25,X,-5.57195286225621,-4.38140055234149,0.000489474633685939
RatQuad,25,Y,-5.98880087210621,4.6922100160481,0.000233707360149909
RatQuad,25,Z,-5.52894839834941,-4.33911322115396,0.000486718857341923
SqExp,50,X,-5.79646100584982,-4.59736607514904,0.00034446828407501
SqExp,50,Y,-5.9888012483053,4.70663716430439,0.000233707060031203
SqExp,50,Z,-5.78310354386906,-4.58413499844551,0.000352059023856696
Matern 1/2,50,X,-4.68424604091159,-3.4851511102108,0.000910581642626905
Matern 1/2,50,Y,-5.98880124832589,4.7066371642838,0.000233707059981655
Matern 1/2,50,Z,-4.66375932661673,-3.46479078119318,0.000945898249743358
Matern 3/2,50,X,-5.71930892728544,-4.52021399658466,0.000344143971205824
Matern 3/2,50,Y,-5.98880124828987,4.70663716431982,0.00023370706003346
Matern 3/2,50,Z,-5.64435511332027,-4.44538656789673,0.000408605519886568
Matern 5/2,50,X,-5.78651134857392,-4.58741641787314,0.000327862696672217
Matern 5/2,50,Y,-5.98880124827382,4.70663716433586,0.000233707060038241
Matern 5/2,50,Z,-5.73580780784265,-4.5368392624191,0.000364632919968945
RatQuad,50,X,-5.79494394825871,-4.59584901755792,0.000344692994072964
RatQuad,50,Y,-5.98880124819887,4.70663716441082,0.000233707060055982
RatQuad,50,Z,-5.78464556474079,-4.58567701931725,0.000348939243391578
