Kernel,N,State,sMSE,Coverage,NLML
SqExp,5,X,0.0335721839406298,1,64.8951339558404
SqExp,5,Y,1.64428847740789,1,-29.9438299669562
SqExp,5,Z,0.0342524972144365,1,0.92455261288807
Matern 1/2,5,X,0.0369491496228385,0.998,100.827480281934
Matern 1/2,5,Y,1.64428858290385,1,-29.9438300046287
Matern 1/2,5,Z,0.030145544879807,0.998,2.91263906289468
Matern 3/2,5,X,0.037741494637268,0.856,48.141314909807
Matern 3/2,5,Y,1.64428855039847,1,-29.9438299969742
Matern 3/2,5,Z,0.0433382665214626,0.846,0.422302827366197
Matern 5/2,5,X,0.0327135522139338,0.734,49.6504460114481
Matern 5/2,5,Y,1.64428852511745,1,-29.9438299882102
Matern 5/2,5,Z,0.0380037025261247,0.72,0.332821238428017
RatQuad,5,X,0.032464796441217,1,57.5824130359491
RatQuad,5,Y,1.64428843397771,1,-29.9438299587815
RatQuad,5,Z,0.0342380671890974,0.904,0.685094560038248
SqExp,10,X,0.00226422555073091,0.954,40.4318542415411
SqExp,10,Y,1.18345395839552,1,-59.8874575628891
SqExp,10,Z,0.00341779696931402,0.932,-0.336879631142063
Matern 1/2,10,X,0.00317459000595867,0.998,83.0198304680129
Matern 1/2,10,Y,1.1834536525295,1,-59.8874575054255
Matern 1/2,10,Z,0.00504098648207479,1,-4.00094731234057
Matern 3/2,10,X,0.00213880595691036,0.888,13.457590882355
Matern 3/2,10,Y,1.1834537998463,1,-59.8874570718233
Matern 3/2,10,Z,0.00361474477677108,0.818,-0.585955864855398
Matern 5/2,10,X,0.00210047087321134,0.962,18.4236828411681
Matern 5/2,10,Y,1.18345386107774,1,-59.8874567678893
Matern 5/2,10,Z,0.00335892837163887,0.934,0.548872577564946
RatQuad,10,X,0.00228644329627211,0.954,27.6161453965887
RatQuad,10,Y,1.18345395439861,1,-59.8874575633988
RatQuad,10,Z,0.00344519872338488,0.932,0.0968176771872784
SqExp,25,X,0.00204004468876549,1,119.545844531837
SqExp,25,Y,1.03130334396013,1,-149.718224618313
SqExp,25,Z,0.00225797150585272,0.954,-1.79407474781041
Matern 1/2,25,X,0.00252208514401925,0.984,-3.16271386722141
Matern 1/2,25,Y,1.03130025070485,1,-149.718223059113
Matern 1/2,25,Z,0.00242748261603456,0.982,-39.0596130048588
Matern 3/2,25,X,0.00207520147981428,1,-9.41278313266939
Matern 3/2,25,Y,1.03130262805891,1,-149.718224620761
Matern 3/2,25,Z,0.00204735881111373,0.978,-16.356255859238
Matern 5/2,25,X,0.00200067014389453,1,9.6717027181224
Matern 5/2,25,Y,1.03130322009824,1,-149.718224617891
Matern 5/2,25,Z,0.00211991290481137,0.96,-6.02646569735116
RatQuad,25,X,0.00202628253483795,1,32.9539728802453
RatQuad,25,Y,1.03130328280705,1,-149.71822462042
RatQuad,25,Z,0.00227029783860567,0.954,-1.60127398146193
SqExp,50,X,0.00051616521935175,0.998,53.3267594037796
SqExp,50,Y,1.00531362778459,1,-299.436097057765
SqExp,50,Z,0.0006417215978535,1,-20.6486445862403
Matern 1/2,50,X,0.00122985925394962,0.964,-87.5594930448022
Matern 1/2,50,Y,1.00530829873907,1,-299.436097055017
Matern 1/2,50,Z,0.00235009477780714,0.942,-108.636012469779
Matern 3/2,50,X,0.000563878042040169,0.998,-76.2010434341961
Matern 3/2,50,Y,1.0053134671456,1,-299.436097056889
Matern 3/2,50,Z,0.000841418726590281,1,-63.8085544852759
Matern 5/2,50,X,0.000524165129527701,0.998,-50.2170695979684
Matern 5/2,50,Y,1.00531358998003,1,-299.43609705617
Matern 5/2,50,Z,0.000570330761376435,1,-47.411575305748
RatQuad,50,X,0.0005044896922707,0.998,-13.5445827174789
RatQuad,50,Y,1.00531361674605,1,-299.436097052436
RatQuad,50,Z,0.000614254017935671,1,-31.6504197682752
