Kernel,N,State,RMSE,MAE,R2
SqExp,5,X,0.0133461404040652,0.00826250499856978,0.966360537133637
SqExp,5,Y,7.0030906820011e-06,4.47724424019516e-06,-0.647583644697286
SqExp,5,Z,0.0134816393383084,0.00929528332260884,0.965678860506577
Matern 1/2,5,X,0.0140012921049955,0.00937499659421591,0.962976803985132
Matern 1/2,5,Y,7.00309090665686e-06,4.47724366882118e-06,-0.647583750404661
Matern 1/2,5,Z,0.0126476009320935,0.00784826608267524,0.969794043206606
Matern 3/2,5,X,0.0141506190674624,0.00884703791137158,0.962182871104942
Matern 3/2,5,Y,7.00309083743601e-06,4.47724402552406e-06,-0.647583717834142
Matern 3/2,5,Z,0.0151646486602674,0.00971275107628505,0.956574883245027
Matern 5/2,5,X,0.0131743666156579,0.00879679057728403,0.967220889565197
Matern 5/2,5,Y,7.00309078359956e-06,4.47724413485358e-06,-0.647583692502454
Matern 5/2,5,Z,0.0142006930386173,0.00947767834953345,0.961920137749374
RatQuad,5,X,0.0131241817025255,0.00827167254466439,0.967470143846476
RatQuad,5,Y,7.00309058951565e-06,4.47724414488262e-06,-0.647583601180068
RatQuad,5,Z,0.0134787992404091,0.00931662820162999,0.965693319449802
SqExp,10,X,0.00346597747445507,0.00263786601351401,0.997731236923115
SqExp,10,Y,5.94123083804687e-06,3.68370687503219e-06,-0.185825609614746
SqExp,10,Z,0.0042586280961668,0.00286627408220141,0.996575353738162
Matern 1/2,10,X,0.00410402232698294,0.00243754500731645,0.996819048090222
Matern 1/2,10,Y,5.9412300702854e-06,3.68370530629953e-06,-0.185825303135772
Matern 1/2,10,Z,0.00517195040000577,0.00326983890105819,0.994948911340606
Matern 3/2,10,X,0.00336861660381549,0.00227374878305525,0.997856907858807
Matern 3/2,10,Y,5.94123044006878e-06,3.68370619279085e-06,-0.185825450747799
Matern 3/2,10,Z,0.0043796096525214,0.00288860634703486,0.99637801124572
Matern 5/2,10,X,0.00333829125109012,0.0023791628329764,0.997895319766321
Matern 5/2,10,Y,5.94123059376726e-06,3.68370648762321e-06,-0.185825512101949
Matern 5/2,10,Z,0.00422179320151309,0.00271621224067198,0.996634340308979
RatQuad,10,X,0.00348294093920531,0.00261735329471895,0.997708974653034
RatQuad,10,Y,5.94123082801416e-06,3.6837068265651e-06,-0.185825605609834
RatQuad,10,Z,0.00427566552102791,0.0028489922251279,0.996547897070757
SqExp,25,X,0.0032899229961443,0.00262944573429456,0.997955867045325
SqExp,25,Y,5.54617994711828e-06,3.76162413763869e-06,-0.0333700841283882
SqExp,25,Z,0.00346143207254742,0.00265518119881456,0.99773750350115
Matern 1/2,25,X,0.00365801737888672,0.00300617113679373,0.997472860577135
Matern 1/2,25,Y,5.5461716296027e-06,3.76161498287084e-06,-0.0333669846741982
Matern 1/2,25,Z,0.00358900984031829,0.00292320424199538,0.997567652689344
Matern 3/2,25,X,0.00331815009049755,0.00271522735844752,0.997920639799785
Matern 3/2,25,Y,5.54617802211838e-06,3.7616221418926e-06,-0.0333693667924992
Matern 3/2,25,Z,0.00329604828935668,0.00248729305664012,0.997948538265417
Matern 5/2,25,X,0.00325801919016826,0.00264500951457614,0.9979953204971
Matern 5/2,25,Y,5.54617961406383e-06,3.76162379964654e-06,-0.03336996001828
Matern 5/2,25,Z,0.00335394235601727,0.00254031524825067,0.997875838772734
RatQuad,25,X,0.00327880729746756,0.00263753603237517,0.99796965677872
RatQuad,25,Y,5.54617978268268e-06,3.76162397099221e-06,-0.0333700228527603
RatQuad,25,Z,0.00347086724301737,0.00265437988571554,0.997725152466327
SqExp,50,X,0.00165485619867306,0.00137208241966643,0.999482800381411
SqExp,50,Y,5.47584981325843e-06,3.88008121873311e-06,-0.00732828435329957
SqExp,50,Z,0.00184531245459807,0.00163202224592025,0.99935699238692
Matern 1/2,50,X,0.0025544276063103,0.00203596085579451,0.998767676098247
Matern 1/2,50,Y,5.47583529983159e-06,3.88006648862362e-06,-0.00732294462832961
Matern 1/2,50,Z,0.00353133788424245,0.00278806438393101,0.99764519561342
Matern 3/2,50,X,0.00172965100673272,0.00139281806191388,0.999434991941843
Matern 3/2,50,Y,5.47584937576559e-06,3.88008079641491e-06,-0.00732812339238564
Matern 3/2,50,Z,0.00211301544519051,0.00172921593525999,0.999156895063537
Matern 5/2,50,X,0.0016676309831376,0.00134162911695711,0.999474784439351
Matern 5/2,50,Y,5.47584971029946e-06,3.88008111984414e-06,-0.00732824647297514
Matern 5/2,50,Z,0.00173964239561987,0.00152720407289978,0.999428526291206
RatQuad,50,X,0.001636032930513,0.00134422202146324,0.999494499306342
RatQuad,50,Y,5.47584978319547e-06,3.88008118986559e-06,-0.00732827329263297
RatQuad,50,Z,0.0018053881510788,0.00160984608166646,0.999384515012088
