Noise,N,Kernel,Regular,Optimization,N_per_Time,RMSE,MAE,R2,NLPD,MSLL,CRPS,sMSE,Coverage,NLML
0,5,SqExp,Yes,Default,1,73.5199688700213,45.6203864485504,0.95132071499211,5.30661032126763,-1.98231440433046,34.1479777273176,0.0485819264378743,0.824,44.639316314437
0,5,Matern 1/2,Yes,Default,1,104.510280534308,72.2366303647358,0.901632510231593,6.35707609260067,-0.931848632997419,68.7262515192528,0.0981707547888702,1,46.3655956208283
0,5,Matern 3/2,Yes,Default,1,67.9976867162161,33.5955963457602,0.958358934050006,5.51190511779571,-1.77701960780238,36.448431189809,0.041557783818094,1,45.0874149019906
0,5,Matern 5/2,Yes,Default,1,68.1291676162155,35.9031191401658,0.958197743328661,5.29098581105284,-1.99793891454525,32.8018344591626,0.041718652157996,1,44.7200805591425
0,5,RatQuad,Yes,Default,1,73.5199033290047,45.6202996840263,0.951320801784541,5.30658968863119,-1.9823350369669,34.1479032138656,0.0485818398190283,0.824,44.6393167392092
0,10,SqExp,Yes,Default,1,18.2241400192263,8.89115184041303,0.997008922617841,5.01027841434165,-2.2395487290409,8.01020407220262,0.00298509522739488,0.816,97.6023462468237
0,10,Matern 1/2,Yes,Default,1,20.3208111546444,10.8851146061512,0.996281090228891,5.35389228865642,-1.89593485472613,22.2357462275202,0.00371147195156704,1,85.2155961288648
0,10,Matern 3/2,Yes,Default,1,8.53018895647847,4.90013003056862,0.999344683859369,4.02882399298954,-3.22100315039301,6.61660587850916,0.000654005508349653,1,89.9898856887766
0,10,Matern 5/2,Yes,Default,1,11.0913688961781,5.45200175166862,0.998892091582724,3.71419866514517,-3.53562847823738,5.71234605808558,0.00110569260044187,1,92.886207275989
0,10,RatQuad,Yes,Default,1,18.2260750723043,8.89262023784511,0.997008287394366,5.01666713692119,-2.23316000646136,8.01018473655443,0.00298572918042296,0.816,97.6030471499351
0,25,SqExp,Yes,Default,1,1.40384684796134,0.91370846119681,0.999982251035359,2.45597775173935,-4.77558340974437,1.20546540898043,1.77134667121163e-05,1,262.943207702565
0,25,Matern 1/2,Yes,Default,1,3.56698108634859,1.72866945519433,0.999885413046032,4.37987624343116,-2.85168491805256,7.97851908277145,0.000114357780059956,1,172.400979487607
0,25,Matern 3/2,Yes,Default,1,0.35893023848427,0.161961723689214,0.999998839744444,2.66903697217344,-4.56252418931029,1.35791697319623,1.15793504500608e-06,1,192.380758270884
0,25,Matern 5/2,Yes,Default,1,0.482922570300807,0.249957705361773,0.999997899665004,2.48244749667448,-4.74911366480924,1.12981670082194,2.0961343260134e-06,1,212.428624928576
0,25,RatQuad,Yes,Default,1,0.912882094264411,0.513573506878512,0.999992494788434,2.44165556847783,-4.7899055930059,1.12228264295652,7.49020114282631e-06,1,205.094490691985
0,50,SqExp,Yes,Default,1,0.948608379028882,0.635456512406909,0.999991895849928,2.31201954481863,-4.91664695524212,1.0039997052924,8.08794177226234e-06,1,530.672499386757
0,50,Matern 1/2,Yes,Default,1,0.926258715092124,0.458827083541748,0.999992273226596,3.7150702206864,-3.51359627937435,4.00907534405052,7.71131985742563e-06,1,304.750529601126
0,50,Matern 3/2,Yes,Default,1,0.252627699477399,0.110073746186223,0.999999425228142,2.41233626872678,-4.81633023133397,1.04452507975553,5.73622314599721e-07,1,340.081128885788
0,50,Matern 5/2,Yes,Default,1,0.331312190777056,0.155945966505837,0.999999011427798,2.33462084359923,-4.89404565646152,0.970220819108638,9.86595057675699e-07,1,375.5884862335
0,50,RatQuad,Yes,Default,1,0.633024138133375,0.35180391630569,0.999996391106193,2.30501450534149,-4.92365199471926,0.962792125847557,3.60167601977807e-06,1,374.941635083502
0.01,5,SqExp,Yes,Default,1,73.3780301583492,45.36843677556,0.951508495409845,5.29783732507224,-1.99194013776649,34.0586859272686,0.0483945215809752,0.83,44.653698016842
0.01,5,Matern 1/2,Yes,Default,1,104.872471115043,72.2454809181098,0.90094952452274,6.36555155291789,-0.924225909920839,69.1642650703584,0.0988523745263055,1,46.3625078762567
0.01,5,Matern 3/2,Yes,Default,1,67.9851709709078,32.6693155784288,0.95837426166003,5.5234413829617,-1.76633607987704,36.6439254806247,0.0415424868632899,1,45.1090381326453
0.01,5,Matern 5/2,Yes,Default,1,68.0771277834842,35.4651589464443,0.958261579471042,5.3001555514159,-1.98962191142283,32.8911198970895,0.0416549436878999,1,44.7408287620212
0.01,5,RatQuad,Yes,Default,1,73.3779576571242,45.3683366626887,0.951508591233942,5.29782076775852,-1.99195669508021,34.0586130928072,0.0483944259485261,0.83,44.6536983852858
0.01,10,SqExp,Yes,Default,1,17.0421248201567,9.49409670000363,0.997384341478558,4.27199748237522,-2.978811232595,9.02765915540668,0.00261042720439913,0.95,97.2809032326081
0.01,10,Matern 1/2,Yes,Default,1,19.4392849619425,11.4086895896122,0.996596747798502,5.36135257538467,-1.88945613958555,22.2712941468125,0.00339644569709529,1,85.3524351183846
0.01,10,Matern 3/2,Yes,Default,1,9.50592920722118,6.45126275292393,0.999186190578931,4.08069378320146,-3.17011493176877,7.05212000329377,0.000812181802227223,1,90.1395968463445
0.01,10,Matern 5/2,Yes,Default,1,12.3599188733012,7.09865508280935,0.998624169913987,3.80487535201263,-3.44593336295759,6.3626815854316,0.00137307842584121,1,93.0213521372268
0.01,10,RatQuad,Yes,Default,1,17.0421557608301,9.4940581386462,0.99738433198088,4.27199098809776,-2.97881772687246,9.02762650683318,0.00261043668308206,0.95,97.2808898568454
0.01,25,SqExp,Yes,Default,1,2.83622043799294,2.18360248271538,0.999927554147669,2.66399385319895,-4.56771435149194,1.7401179921803,7.23009606266715e-05,1,257.012606509474
0.01,25,Matern 1/2,Yes,Default,1,4.68109995079843,3.30781776376934,0.999802653517316,4.38708286443697,-2.84462534025393,8.10162151857283,0.000196951789718747,1,172.384457698571
0.01,25,Matern 3/2,Yes,Default,1,2.90820249686539,2.17092665933094,0.999923830194304,2.80372115850817,-4.42798704618273,1.90508054526063,7.601746608512e-05,1,192.709892135179
0.01,25,Matern 5/2,Yes,Default,1,2.7152466817655,2.03893834485173,0.99993360243618,2.645353342586,-4.5863548621049,1.68050973676633,6.62647686926577e-05,1,214.540206443825
0.01,25,RatQuad,Yes,Default,1,2.56729692464776,1.8997176017402,0.99994064111112,2.58961137354598,-4.64209683114491,1.58851151185543,5.924017110246e-05,1,196.187117067459
0.01,50,SqExp,Yes,Default,1,2.35372652952798,1.83322584322719,0.99995010631663,2.46722926616611,-4.76138155707191,1.43317209179084,4.97938960036574e-05,1,531.143613340022
0.01,50,Matern 1/2,Yes,Default,1,3.04288881710589,2.51783052986034,0.999916611582893,3.74774147816935,-3.48086934506867,4.27370877001411,8.32216402731599e-05,1,305.234532857372
0.01,50,Matern 3/2,Yes,Default,1,2.77519610081644,2.26323749669713,0.999930638110539,2.61329715360317,-4.61531366963485,1.68686761169895,6.9223165682622e-05,1,344.736961347998
0.01,50,Matern 5/2,Yes,Default,1,2.5039021420174,2.00229808179303,0.999943536438902,2.52148323039039,-4.70712759284763,1.52710564424455,5.63506339755518e-05,1,381.425996096972
