Kernel,N,RMSE,MAE,R2
SqExp,5,73.5199688700213,45.6203864485504,0.95132071499211
Matern 1/2,5,104.510280534308,72.2366303647358,0.901632510231593
Matern 3/2,5,67.9976867162161,33.5955963457602,0.958358934050006
Matern 5/2,5,68.1291676162155,35.9031191401658,0.958197743328661
RatQuad,5,73.5199033290047,45.6202996840263,0.951320801784541
SqExp,10,18.2241400192263,8.89115184041303,0.997008922617841
Matern 1/2,10,20.3208111546444,10.8851146061512,0.996281090228891
Matern 3/2,10,8.53018895647847,4.90013003056862,0.999344683859369
Matern 5/2,10,11.0913688961781,5.45200175166862,0.998892091582724
RatQuad,10,18.2260750723043,8.89262023784511,0.997008287394366
SqExp,25,1.40384684796134,0.91370846119681,0.999982251035359
Matern 1/2,25,3.56698108634859,1.72866945519433,0.999885413046032
Matern 3/2,25,0.35893023848427,0.161961723689214,0.999998839744444
Matern 5/2,25,0.482922570300807,0.249957705361773,0.999997899665004
RatQuad,25,0.912882094264411,0.513573506878512,0.999992494788434
SqExp,50,0.948608379028882,0.635456512406909,0.999991895849928
Matern 1/2,50,0.926258715092124,0.458827083541748,0.999992273226596
Matern 3/2,50,0.252627699477399,0.110073746186223,0.999999425228142
Matern 5/2,50,0.331312190777056,0.155945966505837,0.999999011427798
RatQuad,50,0.633024138133375,0.35180391630569,0.999996391106193
