Kernel,N,NLPD,MSLL,CRPS
SqExp,5,7.37092023917419,0.0606826797535448,49.4100955143543
Matern 1/2,5,6.69209697469311,-0.618140584727537,82.4953819533587
Matern 3/2,5,6.61412302146242,-0.696114537958221,50.5617576552279
Matern 5/2,5,6.78418378066311,-0.526053778757533,47.2707278111161
RatQuad,5,7.51123811805121,0.201000558630566,49.4351638559201
SqExp,10,5.72254501892781,-1.55620235005994,36.1522029271299
Matern 1/2,10,6.12137982649739,-1.15736754249036,38.9160807893385
Matern 3/2,10,6.18303033390257,-1.09571703508518,41.8716272723013
Matern 5/2,10,5.64687258149757,-1.63187478749018,35.2987990252611
RatQuad,10,5.7225449224333,-1.55620244655445,36.1522009298532
SqExp,25,5.29784205448506,-1.93938601808326,24.9341622405273
Matern 1/2,25,6.35004083791339,-0.887187234654929,29.7954924357487
Matern 3/2,25,5.28769281427835,-1.94953525828997,24.8275356505993
Matern 5/2,25,5.29467516410072,-1.94255290846761,24.884249683512
RatQuad,25,5.29784204699645,-1.93938602557187,24.9341629554632
SqExp,50,5.39740749599243,-1.83133731787808,23.8998850095395
Matern 1/2,50,5.38900217276769,-1.83974264110283,28.7657177044143
Matern 3/2,50,5.34805423874932,-1.88069057512119,23.6835259682881
Matern 5/2,50,5.3576913189443,-1.87105349492621,23.4315698932168
RatQuad,50,5.36301305690779,-1.86573175696272,23.656520340152
