Kernel,N,sMSE,Coverage,NLML
SqExp,5,0.0898867806647361,0.688,50.5979848201981
Matern 1/2,5,0.223029334591446,1,54.0877940958807
Matern 3/2,5,0.123927316039035,0.882,50.6915409934493
Matern 5/2,5,0.104468260798565,0.738,49.90272199257
RatQuad,5,0.0898867759007221,0.688,50.5979855615501
SqExp,10,0.00473726695193504,0.834,95.3178323211303
Matern 1/2,10,0.00850184401850655,0.998,81.4551804140054
Matern 3/2,10,0.00502793732269693,0.904,84.9747558453791
Matern 5/2,10,0.00838591651866159,0.872,89.5978272366803
RatQuad,10,0.00477741416224961,0.838,94.7975753271839
SqExp,25,0.00325070636703061,0.898,253.858087610033
Matern 1/2,25,0.00371934877468433,0.984,170.335358290765
Matern 3/2,25,0.00266691172483631,0.936,198.72374273688
Matern 5/2,25,0.00281722105461666,0.93,214.028596252495
RatQuad,25,0.00324223351220434,0.892,225.644641808591
SqExp,50,0.000878915835267666,1,484.521472110298
Matern 1/2,50,0.00238171057681268,0.932,314.185334463398
Matern 3/2,50,0.00117388241827736,1,361.480163897541
Matern 5/2,50,0.000944647188799173,1,396.535188047989
RatQuad,50,0.000843725082189267,1,366.359284567612
